C22BMY,FTSE100
2609,7687.77
2569,7648.1
2592,7671.11
2621.5,7695.88
2631.5,7724.22
2614.5,7696.51
2644.5,7731.02
2657.5,7748.51
2679.5,7762.94
2691.5,7778.64
2682,7769.14
2661,7755.93
2630.5,7725.43
2608.5,7700.96
2642.5,7730.79
2624,7715.44
2644.5,7731.83
2576.5,7643.43
2531,7615.84
2583,7665.54
2587.5,7671.53
2516.5,7587.98
2451.5,7533.55
2413.5,7490.39
2367.5,7443.43
2295.5,7334.98
2131,7141.4
2247,7279.42
2142.5,7170.69
2069.5,7092.43
2168.5,7177.06
2153,7168.01
2191.5,7213.97
2225,7234.81
2274.5,7294.7
2234,7247.66
2225,7246.77
2266,7281.57
2250.5,7252.39
2242,7244.41
2290,7289.58
2271.5,7282.45
2236,7231.91
2169.5,7175.64
2094,7069.9
2127.5,7115.98
2155.5,7146.75
2161,7157.84
2213,7203.24
2228,7224.51
2220.5,7214.76
2142,7138.78
2146,7132.69
2152.5,7139.76
2167.5,7164.14
2049,7042.93
2080,7061.27
2039.5,7038.97
1959,6952.59
1946.5,6921.94
1901.5,6888.69
1998,7000.14
2032.5,7044.74
2084,7056.61
2084,7056.61
2084,7056.61
2044.5,7030.46
2043.5,7034.01
2203.5,7199.5
2181,7183.64
2196,7194.75
2267.5,7266.75
2263,7257.14
2267.5,7258.34
2278,7264.56
2219.5,7198.2
2249,7226.05
2333,7317.34
2350,7328.92
2380.5,7368.17
2420.5,7398.87
2438,7425.4
2399.5,7379.32
2443.5,7421.43
2526.5,7502.21
2531,7509.3
2542,7520.36
2578.5,7543.2
2531,7502.69
2593.5,7567.14
2593.5,7567.14
2600.5,7565.75
2687,7662.52
2757.5,7700.97
2779,7724.55
2760.5,7710.98
2784.5,7722.98
2794.5,7734.2
2837,7787.97
2837,7778.79
2921,7859.17
2952.5,7877.45
2842.5,7788.44
2796,7716.74
2795.5,7730.28
2795.5,7730.28
2696.5,7632.64
2727.5,7689.57
2743,7678.2
2756,7701.77
2797.5,7741.29
2748.5,7686.8
2772,7712.37
2780,7704.4
2747.5,7681.07
2817,7737.43
2778,7703.81
2780,7703.71
2838,7765.79
2705.5,7633.91
2705,7631.33
2677.5,7603.85
2715,7627.4
2631,7556.44
2760,7682.27
2584.5,7509.84
2633,7537.92
2686.5,7621.69
2692.5,7615.63
2742.5,7636.93
2639,7547.85
2663,7593.29
2648,7573.09
2680.5,7603.22
2685.5,7617.7
2770.5,7687.99
2774,7692.04
2672,7591.96
2731.5,7651.33
2742.5,7661.87
2674.5,7600.45
2710.5,7626.33
2754.5,7676.28
2763,7683.97
2754.5,7678.79
2732,7655.79
2797,7709.05
2730.5,7658.26
2746.5,7663.17
2781.5,7701.31
2778,7700.85
2839.5,7748.76
2725.5,7652.91
2655,7575.93
2742,7659.1
2736.5,7663.78
2803,7718.48
2850,7776.65
2860.5,7741.77
2784,7667.01
2767.5,7642.45
2741,7611.64
2597.5,7497.87
2696.5,7556.38
2685.5,7558.59
2732,7591.26
2704.5,7565.7
2711,7574.24
2699,7563.22
2717.5,7577.49
2717.5,7577.49
2762,7617.22
2696.5,7563.21
2647,7516.03
2564,7432.42
2638,7504.6
2595,7457.86
2529.5,7383.28
2472.5,7318.96
2436.5,7277.7
2436.5,7279.3
2425,7273.54
2463.5,7313.36
2434,7281.57
2462.5,7304.04
2455.5,7302.1
2452.5,7300.23
2486,7331.12
2521.5,7367.32
2630.5,7490.23
2618.5,7458.41
2659.5,7507.56
2667.5,7511.49
2707.5,7545.44
2679,7510.2
2660.5,7495.67
2640.5,7474.55
2679,7510.28
2578.5,7418.34
2484.5,7318.54
2402,7233.33
2403,7237.59
2321.5,7145.74
2179.5,7006.93
2169,6995.91
2201.5,7029.22
2230,7059.4
2216.5,7054.6
2204,7026.99
2224,7049.8
2218,7042.8
2140.5,6955.21
2135.5,6962.98
2172,7004.1
2079,6939.56
2208.5,7026.32
2217.5,7035.85
2308,7128.1
2264,7114.66
2265,7094.12
2282,7103.84
2214.5,7040.68
2277,7117.28
2308.5,7140.68
2282.5,7105.34
2236.5,7053.08
2229.5,7053.76
2210,7033.79
2206.5,7038.01
2219,7013.88
2185.5,7000.89
2135.5,6947.92
2245.5,7050.23
2159.5,6960.32
2150,6952.86
2239,7036
2220.5,7016.85
2203,7004.52
2254,7038.95
2164.5,6980.24
2273.5,7062.41
2227,7022.76
2130,6921.84
1873.5,6704.05
1991,6778.11
1930,6721.54
2031,6806.94
2082,6880.19
2070,6877.5
2028,6845.17
1977.5,6773.24
1909,6701.59
1978.5,6765.94
1912.5,6711.93
1902,6721.17
1873.5,6685.99
1873.5,6685.99
1873.5,6685.99
1790.5,6584.68
1936.5,6733.97
1921,6728.13
1921,6728.13
1926,6734.23
1898.5,6692.66
2036.5,6837.42
2004.5,6810.88
2077,6861.6
2118.5,6906.63
2128,6942.87
2112.5,6918.18
2048,6855.02
2098.5,6895.02
2062,6862.68
2036,6834.92
2101.5,6968.33